Estimate,SE,site,subpop,phe,bic,loglik,Env_Estimate,Env_SE,GxE_Estimate,GxE_SE,error_Estimate,error_SE
0.31838327805290684,0.05015084305151736,three_sites,Gulf,PAN_LEN,8987.18695976814,-4478.634880608504,1.953308244172916e-7,1.3780099868709662e-8,0.4651154551860114,0.04453585093064436,0.21650107143025732,0.016819480327155027
0.6020416587261467,0.03953542527299238,three_sites,Gulf,PRIM_BN,7431.15077407035,-3700.6167877596095,6.140769028542478e-8,5.465399372845189e-9,0.22014010553903718,0.02925196546022731,0.1778181743271259,0.016929458549848987
0.20050238749179272,0.04530014987298314,three_sites,Gulf,SEC_BN,5637.425033936432,-2803.75504731708,1.3295666694830444e-7,7.917517637058987e-9,0.4249649744756893,0.04227390685756914,0.37453250507585095,0.024626388772930996
0.4075970494466323,0.10906141895078889,three_sites,Midwest,PAN_LEN,3770.315276921696,-1871.77843992249,0.1494317751246689,0.20272849926757705,0.27706942410123103,0.07747712018453198,0.16590175132746787,0.04254532951010032
0.48000683637725516,0.0567087351617898,three_sites,Midwest,PRIM_BN,2915.671130851623,-1444.4563668874534,6.720146028520609e-7,6.604336343121461e-8,0.3363896290393072,0.04724751550285924,0.18360286256883473,0.020654794560306174
0.3528757904265143,0.06826702744873597,three_sites,Midwest,SEC_BN,2008.9646377694573,-991.1031203463707,0.014175773397622587,0.11625284953184682,0.31505088946123133,0.06279446365563926,0.31789754671463183,0.04725907583857024
0.5054424434957289,0.118050270810119,three_sites,Atlantic,PAN_LEN,6683.8700576104175,-3327.31794321013,0.17865545380066153,0.18436710727412467,0.18810832746642825,0.04714120456547383,0.1277937752371814,0.030244856238485298
0.4675536454308669,0.04181204240389339,three_sites,Atlantic,PRIM_BN,5449.908861954726,-2710.337345382284,6.447732433654508e-8,4.583760563264567e-9,0.3462425461674113,0.03493679228408183,0.1862037439243975,0.01520846703297043
0.43113558408958436,0.038400969006690586,three_sites,Atlantic,SEC_BN,4191.513412986462,-2081.1409609317034,7.365104381391041e-8,4.699516818408452e-9,0.221133947469452,0.027550933377814578,0.3477303947899199,0.02493141685052155
0.42054633060891033,0.060510384644936584,three_sites,three_subpops,PAN_LEN,19735.330351946555,-9851.042379416403,0.0847208489360514,0.11964047002696156,0.3076838480877047,0.045196350328610024,0.18704897236733348,0.02595260226816179
0.5577131933725064,0.024471524899246304,three_sites,three_subpops,PRIM_BN,16091.788260984704,-8029.271333935479,9.519473403322638e-8,4.727687548211285e-9,0.24986052532128517,0.018692056215396862,0.19242618611147444,0.010538875570207999
0.32348820329699773,0.026334904656470853,three_sites,three_subpops,SEC_BN,12059.192411209573,-6012.974392090449,8.4793830020892e-8,3.2113367059777638e-9,0.3056671238004928,0.02172953762733096,0.3708445881086794,0.015727940594178688
