"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",18312283,18315469,"Pavir.9NG204300","","","","","LOC_Os03g39129","frigida, putative, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",18322100,18322918,"Pavir.9NG204373","","","","","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",18327322,18328460,"Pavir.9NG204446","","","","","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",18373969,18374899,"Pavir.9NG204519","","","","","LOC_Os11g33260","retrotransposon protein, putative, unclassified, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17725178,17727634,"Pavir.9NG214400","GO:0030244,GO:0016866","AT5G15650","ATRGP2,RGP2","reversibly glycosylated polypeptide 2","LOC_Os03g40270","alpha-1,4-glucan-protein synthase, putative, expressed","OsUAM1 "
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17728844,17734573,"Pavir.9NG214500","","AT3G02300","","Regulator of chromosome condensation (RCC1) family protein","LOC_Os03g40260","Regulator of chromosome condensation domain containing protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17734754,17737860,"Pavir.9NG214600","GO:0015035","AT5G38900","","Thioredoxin superfamily protein","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17738310,17740049,"Pavir.9NG214700","GO:0008270,GO:0005515","AT5G15790","","RING/U-box superfamily protein","LOC_Os03g40170","zinc finger, C3HC4 type domain containing protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17753860,17754168,"Pavir.9NG214800","","","","","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17778145,17779321,"Pavir.9NG215000","GO:0006950","AT1G69080","","Adenine nucleotide alpha hydrolases-like superfamily protein","LOC_Os03g40130","universal stress protein domain containing protein, putative, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17779214,17780423,"Pavir.9NG215073","","","","","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17798172,17804394,"Pavir.9NG215300","GO:0032040","AT1G69070","","","LOC_Os03g40110","nop14-like family protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17805368,17808249,"Pavir.9NG215400","GO:0016597,GO:0008152","AT1G69040","ACR4","ACT domain repeat 4","LOC_Os03g40100","ACT domain containing protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17808345,17808710,"Pavir.9NG215500","","","","","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17828411,17828740,"Pavir.9NG215600","","","","","","",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17829386,17831533,"Pavir.9NG215700","","AT1G07530","ATGRAS2,GRAS2,SCL14","SCARECROW-like 14","LOC_Os03g40080","GRAS family transcription factor containing protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17834487,17836676,"Pavir.9NG215900","","AT2G37650","","GRAS family transcription factor","LOC_Os03g40080","GRAS family transcription factor containing protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17840726,17841477,"Pavir.9NG215973","","AT1G19260","","TTF-type zinc finger protein with HAT dimerisation domain","LOC_Os06g36530","hAT dimerisation domain-containing protein, putative, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17841478,17844941,"Pavir.9NG216000","GO:0006468,GO:0004672","AT1G70250","","receptor serine/threonine kinase, putative","LOC_Os01g49580","Protein kinase domain containing protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17857494,17857760,"Pavir.9NG216200","","AT2G39725","","LYR family of Fe/S cluster biogenesis protein","LOC_Os08g17650","LYR motif containing protein, putative, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17866969,17867829,"Pavir.9NG216300","","AT5G25160","ZFP3","zinc finger protein 3","LOC_Os08g17640","ZOS8-02 - C2H2 zinc finger protein, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17883112,17886620,"Pavir.9NG216373","","AT1G80980","","","LOC_Os08g17610","expressed protein",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17889461,17892148,"Pavir.9NG216446","GO:0016787","AT5G08100","","N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein","LOC_Os03g40070","transposon protein, putative, unclassified, expressed",NA
"Chr09N","9N@38.02",17684245,19333648,"SEC","Chr09N","phytozomev13","gene",17895311,17902910,"Pavir.9NG216519","","AT3G48710","","DEK domain-containing chromatin associated protein","LOC_Os03g40010","DEK C terminal domain containing protein, expressed",NA
