"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13185084,13186417,"Pavir.9NG091100","","","","","","",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13122189,13127155,"Pavir.9NG091600","","","","","LOC_Os10g24954","ulp1 protease family, C-terminal catalytic domain containing protein, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13174856,13182211,"Pavir.9NG091900","GO:0051536,GO:0009228","AT2G29630","PY,THIC","thiaminC","LOC_Os03g47610","thiamine biosynthesis protein thiC, putative, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13182127,13182663,"Pavir.9NG091973","","","","","","",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13187468,13188761,"Pavir.9NG092000","GO:0016757","AT3G50760","GATL2","galacturonosyltransferase-like 2","LOC_Os03g47530","glycosyl transferase 8 domain containing protein, putative, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13193552,13193878,"Pavir.9NG092073","","","","","","",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13200644,13201330,"Pavir.9NG092200","","AT2G23780","","RING/U-box superfamily protein","LOC_Os03g47500","zinc finger, C3HC4 type domain containing protein, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13224850,13225505,"Pavir.9NG092400","","","","","LOC_Os01g66670","expressed protein",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13227926,13229185,"Pavir.9NG092500","","","","","LOC_Os01g66670","expressed protein",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13252651,13253031,"Pavir.9NG092573","","","","","","",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13257432,13264235,"Pavir.9NG092600","GO:0006468,GO:0004672,GO:0005524","AT5G63370","","Protein kinase superfamily protein","LOC_Os09g27350","RIO1 family protein, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13264937,13265998,"Pavir.9NG092700","GO:0006468,GO:0004672","AT1G67580","","Protein kinase superfamily protein","LOC_Os06g47880","cell division control protein 2 homolog 3, putative, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13272836,13273686,"Pavir.9NG092900","","AT1G61255","","","LOC_Os03g47270","GCRP4 - Glycine and cysteine rich family protein precursor, expressed",NA
"Chr09N","9N@38.02",10880731,20831824,"LEN","Chr09N","phytozomev13","gene",13275082,13277212,"Pavir.9NG092973","","","","","","",NA
