"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9856744,9859985,"Pavir.9NG024000","","","","","LOC_Os01g71630","expressed protein",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9861518,9862569,"Pavir.9NG024100","GO:0005515","AT3G62250","UBQ5","ubiquitin 5","LOC_Os01g22490","40S ribosomal protein S27a, putative, expressed","OsUBI5|UBQ5 "
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9864483,9865898,"Pavir.9NG024173","","AT4G39235","","","LOC_Os03g51459","expressed protein",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9866082,9868383,"Pavir.9NG024246","GO:0005737","AT5G42770","","Maf-like protein","LOC_Os03g51479","maf, putative, expressed",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9873124,9873737,"Pavir.9NG024319","","","","","","",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9876466,9876794,"Pavir.9NG024392","","AT1G71830","ATSERK1,SERK1","somatic embryogenesis receptor-like kinase 1","LOC_Os03g49620","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9883004,9885252,"Pavir.9NG024465","","","","","LOC_Os03g51470","expressed protein",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",9886579,9887838,"Pavir.9NG024538","","","","","","",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",8853815,8854759,"Pavir.9NG059400","","","","","","",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13185084,13186417,"Pavir.9NG091100","","","","","","",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13122189,13127155,"Pavir.9NG091600","","","","","LOC_Os10g24954","ulp1 protease family, C-terminal catalytic domain containing protein, expressed",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13174856,13182211,"Pavir.9NG091900","GO:0051536,GO:0009228","AT2G29630","PY,THIC","thiaminC","LOC_Os03g47610","thiamine biosynthesis protein thiC, putative, expressed",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13182127,13182663,"Pavir.9NG091973","","","","","","",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13187468,13188761,"Pavir.9NG092000","GO:0016757","AT3G50760","GATL2","galacturonosyltransferase-like 2","LOC_Os03g47530","glycosyl transferase 8 domain containing protein, putative, expressed",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13193552,13193878,"Pavir.9NG092073","","","","","","",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13200644,13201330,"Pavir.9NG092200","","AT2G23780","","RING/U-box superfamily protein","LOC_Os03g47500","zinc finger, C3HC4 type domain containing protein, expressed",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13224850,13225505,"Pavir.9NG092400","","","","","LOC_Os01g66670","expressed protein",NA
"Chr09N","9N@26.03",7913256,21588445,"PRM","Chr09N","phytozomev13","gene",13227926,13229185,"Pavir.9NG092500","","","","","LOC_Os01g66670","expressed protein",NA
