"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64378152,64382620,"Pavir.5NG107300","GO:2001070,GO:0003824","AT5G01260","","Carbohydrate-binding-like fold","LOC_Os01g63810","starch binding domain containing protein, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64382107,64393404,"Pavir.5NG107400","","AT5G01270","ATCPL2,CPL2","carboxyl-terminal domain (ctd) phosphatase-like 2","LOC_Os01g63820","double-stranded RNA binding motif containing protein, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64401575,64407655,"Pavir.5NG107401","GO:0016765","AT5G58770","","Undecaprenyl pyrophosphate synthetase family protein","LOC_Os01g63830","dehydrodolichyl diphosphate synthase, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64407656,64411081,"Pavir.5NG107700","","AT5G03770","KDTA","KDO transferase A","LOC_Os01g63840","3-deoxy-D-manno-octulosonic-acid transferase, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64411662,64412033,"Pavir.5NG107800","","AT5G03770","KDTA","KDO transferase A","LOC_Os01g63840","3-deoxy-D-manno-octulosonic-acid transferase, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64412451,64422642,"Pavir.5NG107900","","AT1G08230","ATGAT1,GAT1","Transmembrane amino acid transporter family protein","LOC_Os01g63854","transmembrane amino acid transporter protein, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64419367,64421463,"Pavir.5NG108000","","","","","","",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64426282,64431475,"Pavir.5NG108100","GO:0055085,GO:0016020,GO:0006810,GO:0005215","AT2G27810","ATNAT12,NAT12","nucleobase-ascorbate transporter 12","LOC_Os01g63870","nucleobase-ascorbate transporter, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64432394,64436217,"Pavir.5NG108200","","AT3G52240","","","LOC_Os01g63880","expressed protein",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64436930,64444839,"Pavir.5NG108300","GO:0005634","AT4G21110","","G10 family protein","LOC_Os01g63890","G10 protein, putative, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64449234,64452192,"Pavir.5NG108400","GO:0005515","AT1G27840","ATCSA-1","Transducin/WD40 repeat-like superfamily protein","LOC_Os02g20430","WD domain, G-beta repeat domain containing protein, expressed",NA
"Chr05N","5N@84.04",60974614,65990782,"PRM","Chr05N","phytozomev13","gene",64452585,64465346,"Pavir.5NG108500","","AT1G19485","","Transducin/WD40 repeat-like superfamily protein","LOC_Os01g63910","AT hook motif family protein, expressed",NA
