"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",39971848,39972949,"Pavir.5NG017500","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",39973028,39973572,"Pavir.5NG017600","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",39978617,39980687,"Pavir.5NG017700","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",45411415,45414805,"Pavir.5NG102400","","","","","LOC_Os02g25310","zinc knuckle family protein, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",45415313,45423280,"Pavir.5NG104244","GO:0008270","AT1G11020","","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os08g29590","zinc finger, C3HC4 type family protein, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",45423954,45426619,"Pavir.5NG106088","GO:0008270","AT1G11020","","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os08g29590","zinc finger, C3HC4 type family protein, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",24073961,24075712,"Pavir.5NG125000","","AT2G15880","","Leucine-rich repeat (LRR) family protein","LOC_Os01g25460","uncharacterized protein At4g06744 precursor, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",24076506,24081197,"Pavir.5NG125081","","","","","LOC_Os08g20410","expressed protein",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",24079315,24079878,"Pavir.5NG125162","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",40813902,40816027,"Pavir.5NG128100","","AT1G55160","","","LOC_Os01g39780","expressed protein",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",40841028,40842422,"Pavir.5NG128181","","AT3G47590","","alpha/beta-Hydrolases superfamily protein","LOC_Os01g39790","esterase/lipase/thioesterase, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",47118762,47136564,"Pavir.5NG139700","GO:0030131,GO:0016192,GO:0006886","AT5G11490","","adaptin family protein","LOC_Os01g43630","adaptin, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",47127923,47128171,"Pavir.5NG139800","GO:0030150,GO:0005742","AT5G41685","","Mitochondrial outer membrane translocase complex, subunit Tom7","LOC_Os05g50654","mitochondrial import receptor subunit TOM7-1, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",11982593,11987203,"Pavir.5NG140000","","AT1G19600","","pfkB-like carbohydrate kinase family protein","LOC_Os01g01620","kinase, pfkB family, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",11988760,11989984,"Pavir.5NG140100","","AT2G16710","","Iron-sulphur cluster biosynthesis family protein","LOC_Os01g01610","IscA-like iron-sulfur assembly protein, mitochondrial precursor, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",11990415,11995782,"Pavir.5NG140200","","AT1G27660","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os01g01600","ethylene-responsive protein related, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",11997668,11998124,"Pavir.5NG140300","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",11999705,12002708,"Pavir.5NG140381","","","","","LOC_Os08g04810","serine esterase family protein, putative, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",12039270,12058963,"Pavir.5NG140500","GO:0008408,GO:0003677,GO:0000166","AT5G63960","EMB2780","DNA binding;nucleotide binding;nucleic acid binding;DNA-directed DNA polymerases;DNA-directed DNA polymerases","LOC_Os11g08330","POLD1 - Putative DNA polymerase delta catalytic subunit, expressed",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",12067778,12070758,"Pavir.5NG140600","GO:0016747","AT1G27620","","HXXXD-type acyl-transferase family protein","LOC_Os01g28474","transferase family protein, putative, expressed","AL1 "
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",12090231,12091676,"Pavir.5NG140681","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",12100422,12101884,"Pavir.5NG140762","","","","","","",NA
"Chr05N","5N@36.27",11735767,47154718,"LEN","Chr05N","phytozomev13","gene",13281583,13285699,"Pavir.5NG140800","","AT2G02030","","F-box family protein","LOC_Os09g27570","OsFBA3 - F-box and FBA domain containing protein, expressed",NA
